item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path
Air Jordan 4 Retro Lightning 2021,Jordan,220,2021-08-28,277,321,910,198,0.057138,62965,0.295,285,285,feetflix/Jordan 4 Retro Lightning 2021.jpg
Air Jordan 1 Retro High OG Atmosphere (W),Jordan,170,2021-12-22,189,218,693,166,0.077951,20115,0.118,260,190,feetflix/Jordan 1 Retro High OG Atmosphere (W).jpg
Nike Dunk Low Venice (W),Nike,100,2022-02-02,165,220,314,144,0.050939,10411,0.9,196,190,feetflix/Nike Dunk Low Venice (W).jpg
Air Jordan 1 Low Inside Out Cream White Light Grey,Jordan,110,2022-04-01,120,243,285,109,0.143036,1850,0.155,159,127,feetflix/Jordan 1 Low Inside Out Cream White Light Grey.jpg
adidas Yeezy Boost 350 V2 MX Oat,adidas,220,2021-10-23,234,290,600,175,0.069798,30821,0.182,265,260,feetflix/adidas Yeezy Boost 350 V2 MX Oat.jpg
Nike Dunk Low Triple White 2021 (W),Nike,100,2021-08-18,115,132,346,80,0.154091,8597,0.11,139,111,feetflix/Nike Dunk Low Triple White 2021 (W).jpg
Nike SB Dunk Low Pro Bart Simpson,Nike,110,2022-05-07,179,325,850,105,0.20664,4161,0.818,269,200,feetflix/Nike SB Dunk Low Pro Bart Simpson.jpg
Air Jordan 1 Low Mocha,Jordan,100,2021-11-19,162,275,558,130,0.085567,13732,0.97,204,197,feetflix/Jordan 1 Low Mocha.jpg
Nike Dunk Low Retro White Black PS,Nike,65,2021-03-10,65,101,245,25,0.100811,12963,0.415,102,92,feetflix/Nike Dunk Low Retro White Black PS.jpg
Nike Dunk Low Light Iron Ore Red Blue,Nike,110,2022-05-01,122,155,317,112,0.065265,1296,0.345,146,148,feetflix/Nike Dunk Low Light Iron Ore Red Blue.jpg
Nike Dunk Low Championship Goldenrod 2021,Nike,100,2021-12-16,124,225,398,108,0.111691,20969,0.2,164,120,feetflix/Nike Dunk Low Championship Goldenrod 2021.jpg
Nike Blazer Mid 77 White Black (W),Nike,100,2020-04-01,58,73,169,31,0.112278,14933,-0.4,98,60,feetflix/Nike Blazer Mid 77 White Black (W).jpg
Air Jordan 5 Retro Easter 2022,Jordan,210,2022-05-27,186,350,452,155,0.286797,2104,-0.038,221,202,feetflix/Jordan 5 Retro Easter 2022.jpg
Nike Dunk Low Essential Paisley Pack Orange (W),Nike,120,2022-05-01,149,270,522,142,0.083421,1956,0.517,201,182,feetflix/Nike Dunk Low Essential Paisley Pack Orange (W).jpg
Nike Air Force 1 Low Supreme Black,Nike,96,2020-03-05,138,191,412,123,0.082956,23293,0.573,167,151,feetflix/Nike Air Force 1 Low Supreme Black.jpg
Air Jordan 6 Retro UNC White,Jordan,210,2022-03-05,215,250,624,180,0.06967,21979,0.119,283,235,feetflix/Jordan 6 Retro UNC White.jpg
Air Jordan 1 Mid Armory Navy,Jordan,115,2022-03-29,113,145,315,105,0.086973,14906,0.696,167,195,feetflix/Jordan 1 Mid Armory Navy.jpg
adidas Yeezy 500 Granite,adidas,210,2022-05-14,220,236,437,180,0.072316,2296,0.119,242,235,feetflix/adidas Yeezy 500 Granite.jpg
Air Jordan 1 Retro High OG Hyper Royal,Jordan,170,2021-04-17,300,450,682,131,0.161302,22631,1.0,387,340,feetflix/Jordan 1 Retro High OG Hyper Royal.jpg
Nike Dunk High Championship White Red,Nike,115,2022-05-17,125,160,377,110,0.083189,7269,0.078,156,124,feetflix/Nike Dunk High Championship White Red.jpg
Air Jordan 1 Low Marina Blue (W),Jordan,100,2022-01-29,123,145,281,115,0.072467,5149,0.43,144,143,feetflix/Jordan 1 Low Marina Blue (W).jpg
Air Jordan 3 Retro Neapolitan Dark Mocha (W),Jordan,200,2022-05-14,193,250,450,174,0.191591,2943,-0.05,238,190,feetflix/Jordan 3 Retro Neapolitan Dark Mocha (W).jpg
Nike Air Max 90 Terrascape Rattan Black,Nike,150,2022-05-01,83,141,271,84,0.129146,1235,0.047,132,157,feetflix/Nike Air Max 90 Terrascape Rattan Black.jpg
adidas Adilette 22 Slides Magic Lime St Desert Sand,adidas,55,2022-06-01,73,87,155,48,0.146936,515,0.473,78,81,feetflix/adidas Adilette 22 Slides Magic Lime St Desert Sand.jpg
Nike Air Force 1 Mid Stussy Light Bone Black,Nike,0,2022-05-13,129,174,750,100,0.128357,2515,0.198,196,153,feetflix/Nike Air Force 1 Mid Stussy Light Bone Black.jpg
adidas Adilette 22 Slides Black Grey,adidas,55,2021-06-18,82,140,217,58,0.113475,206,0.855,111,102,feetflix/adidas Adilette 22 Slides Black Grey.jpg
adidas Ultra Boost 4.0 DNA White,adidas,200,2021-03-04,106,230,240,35,0.084331,12870,-0.305,115,139,feetflix/adidas Ultra Boost 4.0 DNA White.jpg
Air Jordan 1 Low Bred Toe GS,Jordan,75,2021-12-08,91,103,181,17,0.076706,16404,0.333,119,100,feetflix/Jordan 1 Low Bred Toe GS.jpg
adidas Yeezy 500 Blush,adidas,200,2018-02-16,237,261,1043,200,0.123079,9412,0.325,262,265,feetflix/adidas Yeezy 500 Blush.jpg
Air Jordan 1 Retro High OG A Ma Maniére,Jordan,200,2021-12-03,263,351,939,235,0.05757,13780,0.635,399,327,feetflix/Jordan 1 Retro High OG A Ma Maniére.jpg
Air Jordan 1 Low Black University Blue White (W),Jordan,100,2021-12-14,133,160,295,126,0.150596,8835,0.32,171,132,feetflix/Jordan 1 Low Black University Blue White (W).jpg
Nike Dunk Low Fossil Rose,Nike,110,2022-05-04,154,220,432,139,0.146971,6929,0.864,188,205,feetflix/Nike Dunk Low Fossil Rose.jpg
Nike Air Max Correlate Black White Grey,Nike,120,2012-01-01,68,125,198,25,0.177885,4770,-0.375,95,75,feetflix/Nike Air Max Correlate Black White Grey.jpg
Puma LaMelo Ball MB.01 Galaxy,Puma,125,2022-04-29,135,201,367,120,0.039076,2912,0.04,165,130,feetflix/Puma LaMelo Ball MB.01 Galaxy.jpg
Air Jordan 1 Retro High OG Stage Haze GS,Jordan,140,2022-04-01,142,165,245,128,0.066988,1173,0.214,176,170,feetflix/Jordan 1 Retro High OG Stage Haze GS.jpg
Nike SB Dunk Low Blue Raspberry,Nike,110,2022-06-01,217,300,686,150,0.062891,1156,0.818,263,200,feetflix/Nike SB Dunk Low Blue Raspberry.jpg
Nike SB Dunk Low Light Cognac,Nike,100,2022-05-01,174,300,555,139,0.089959,1101,0.84,198,184,feetflix/Nike SB Dunk Low Light Cognac.jpg
Air Jordan 1 High Element Gore-Tex Light Bone,Jordan,200,2021-12-16,177,337,560,130,0.107125,10971,-0.1,256,180,feetflix/Jordan 1 High Element Gore-Tex Light Bone.jpg
Air Jordan 1 Mid SE Light Iron Ore (W),Jordan,120,2022-02-08,110,128,387,88,0.075016,4373,0.117,155,134,feetflix/Jordan 1 Mid SE Light Iron Ore (W).jpg
adidas Yeezy 350 V2 CMPCT Slate Carbon,adidas,230,2022-05-28,199,265,670,150,0.039589,699,-0.043,254,220,feetflix/adidas Yeezy 350 V2 CMPCT Slate Carbon.jpg
Nike Dunk Low Grey Fog,Nike,100,2021-09-21,269,380,565,140,0.070602,21109,1.89,281,289,feetflix/Nike Dunk Low Grey Fog.jpg
Air Jordan 5 Retro Racer Blue,Jordan,200,2022-02-12,185,234,450,172,0.081199,23513,0.235,247,247,feetflix/Jordan 5 Retro Racer Blue.jpg
Nike Dunk Low SE Next Nature Rift Blue,Nike,110,2022-02-01,146,175,491,119,0.1726,3043,0.445,195,159,feetflix/Nike Dunk Low SE Next Nature Rift Blue.jpg
Nike Blazer Low Off-White University Red,Nike,140,2022-04-08,134,165,571,108,0.087311,7669,0.107,209,155,feetflix/Nike Blazer Low Off-White University Red.jpg
Air Jordan 4 Retro Military Black PS,Jordan,90,2022-05-21,70,85,299,50,0.172752,860,-0.233,98,69,feetflix/Jordan 4 Retro Military Black PS.jpg
Nike Air Force 1 Low '07 QS Purple Skeleton Halloween 2021,Nike,130,2022-04-01,103,150,549,90,0.103732,7271,0.554,177,202,feetflix/Nike Air Force 1 Low '07 QS Purple Skeleton Halloween 2021.jpg
Air Jordan 13 Retro Brave Blue,Jordan,200,2022-04-29,174,200,424,140,0.079964,4903,-0.14,217,172,feetflix/Jordan 13 Retro Brave Blue.jpg
Air Jordan 1 Retro Low Golf Shattered Backboard,Jordan,140,2022-06-01,140,151,503,80,0.034525,705,0.107,168,155,feetflix/Jordan 1 Retro Low Golf Shattered Backboard.jpg
Nike Air Force 1 Low White (2018) (W),Nike,90,2018-01-01,88,89,176,47,0.200798,15937,0.1,98,99,feetflix/Nike Air Force 1 Low White (2018) (W).jpg
Air Jordan 1 Retro Low Golf Chicago,Jordan,140,2022-03-24,160,259,698,152,0.083519,7812,0.643,260,230,feetflix/Jordan 1 Retro Low Golf Chicago.jpg
Air Jordan 1 Mid Diamond Shorts GS,Jordan,100,2022-02-09,120,134,276,113,0.16585,10130,0.25,154,125,feetflix/Jordan 1 Mid Diamond Shorts GS.jpg
Air Jordan 1 Mid Light Smoke Grey Anthracite,Jordan,120,2022-04-07,153,200,397,111,0.106372,15721,0.625,207,195,feetflix/Jordan 1 Mid Light Smoke Grey Anthracite.jpg
Nike Dunk Low Next Nature Sun Club Arctic Orange,Nike,110,2022-05-20,119,164,400,106,0.047188,1701,0.118,154,123,feetflix/Nike Dunk Low Next Nature Sun Club Arctic Orange.jpg
adidas Yeezy Boost 350 V2 MX Rock,adidas,220,2021-12-22,212,285,950,111,0.057311,21035,0.159,272,255,feetflix/adidas Yeezy Boost 350 V2 MX Rock.jpg
Nike Blazer Low Off-White Black Electro Green,Nike,140,2022-04-08,104,151,500,90,0.109908,5387,-0.086,177,128,feetflix/Nike Blazer Low Off-White Black Electro Green.jpg
Air Jordan 4 Retro Blank Canvas (W),Jordan,200,2022-03-24,209,245,735,161,0.100377,1000,0.485,284,297,feetflix/Jordan 4 Retro Blank Canvas (W).jpg
Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Black,Converse,125,2019-03-30,95,180,387,80,0.203878,12277,0.008,158,126,feetflix/Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Black.jpg
Air Jordan 1 Mid SE Craft Inside Out White Grey,Jordan,120,2022-03-01,129,152,298,110,0.103199,1483,0.075,156,129,feetflix/Jordan 1 Mid SE Craft Inside Out White Grey.jpg
Nike Dunk Low Graffiti Pink,Nike,110,2022-05-01,117,201,250,100,0.155205,632,0.164,134,128,feetflix/Nike Dunk Low Graffiti Pink.jpg
Nike SB Dunk High New York Mets,Nike,120,2022-06-01,164,185,495,140,0.042246,616,0.425,196,171,feetflix/Nike SB Dunk High New York Mets.jpg
Nike Air Force 1 Low '07 White Black Pebbled Leather,Nike,90,2021-01-14,90,100,215,50,0.117364,13111,0.356,114,122,feetflix/Nike Air Force 1 Low '07 White Black Pebbled Leather.jpg
Nike Dunk Low SE Barber Shop Grey,Nike,110,2022-05-01,125,216,810,105,0.105707,3575,0.291,157,142,feetflix/Nike Dunk Low SE Barber Shop Grey.jpg
Nike SB Dunk Low Cherry,Nike,110,2022-05-01,157,246,449,134,0.088737,1364,0.673,200,184,feetflix/Nike SB Dunk Low Cherry.jpg
adidas Yeezy Boost 350 V2 Light,adidas,220,2021-08-28,230,305,646,164,0.084996,40923,0.345,272,296,feetflix/adidas Yeezy Boost 350 V2 Light.jpg
Nike Vaporwaffle sacai Black Gum,Nike,180,2022-03-10,231,340,1106,196,0.120621,8111,0.517,348,273,feetflix/Nike Vaporwaffle sacai Black Gum.jpg
New Balance 550 Silver Birch (W),New Balance,110,2022-05-25,140,180,270,134,0.177947,135,0.273,182,140,feetflix/New Balance 550 Silver Birch (W).jpg
Air Jordan 3 Retro Muslin,Jordan,200,2022-03-25,220,251,851,194,0.062613,7933,0.085,268,217,feetflix/Jordan 3 Retro Muslin.jpg
Nike Dunk Low Midas Gold,Nike,100,2022-02-15,130,180,279,115,0.251103,16265,0.35,157,135,feetflix/Nike Dunk Low Midas Gold.jpg
