item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path
Air Jordan 1 Mid Light Smoke Grey W,Jordan,120,2021-10-11,145,210,378,119,0.104781,5741,0.725,231,207,feetflix/Jordan 1 Mid Light Smoke Grey W.jpg
adidas Yeezy Boost 350 V2 Zyon,adidas,220,2020-07-18,200,285,449,90,0.158765,5219,0.114,260,245,feetflix/adidas Yeezy Boost 350 V2 Zyon.jpg
Nike LeBron 20 Time Machine,Nike,200,2022-09-29,191,300,694,100,0.121401,4531,0.19,261,238,feetflix/Nike LeBron 20 Time Machine.jpg
adidas Yeezy Boost 350 V2 Hyperspace,adidas,220,2019-03-16,229,255,645,150,0.117665,4284,0.136,247,250,feetflix/adidas Yeezy Boost 350 V2 Hyperspace.jpg
Nike Dunk Low Teal Zeal W,Nike,110,2022-07-13,120,155,335,76,0.080149,3378,0.164,141,128,feetflix/Nike Dunk Low Teal Zeal W.jpg
Air Jordan 1 Retro High Light Smoke Grey,Jordan,170,2020-07-11,204,235,420,151,0.14239,3242,0.429,266,243,feetflix/Jordan 1 Retro High Light Smoke Grey.jpg
Air Jordan 1 Mid Edge Glow GS,Jordan,100,2020-07-04,102,155,317,75,0.134801,3066,0.62,128,162,feetflix/Jordan 1 Mid Edge Glow GS.jpg
Nike Waffle One Summit White,Nike,100,2022-05-13,58,70,133,25,0.180972,2724,-0.26,74,74,feetflix/Nike Waffle One Summit White.jpg
adidas ADI2000 Yu-Gi-Oh! Yugi's World (with Sealed Dark Magician Promo Card),adidas,120,2023-01-26,154,205,357,140,0.128124,2699,0.25,224,150,feetflix/adidas ADI2000 Yu-Gi-Oh! Yugi's World (with Sealed Dark Magician Promo Card).jpg
Nike Blazer Mid 77 Vintage Summit White Pink W,Nike,100,2021-08-31,58,70,169,32,0.113678,2528,-0.06,80,94,feetflix/Nike Blazer Mid 77 Vintage Summit White Pink W.jpg
Nike Air Max 270 White Black (W),Nike,150,2018-03-02,98,110,200,64,0.139127,2274,-0.393,114,91,feetflix/Nike Air Max 270 White Black (W).jpg
New Balance 550 Vintage Indigo Beige,New Balance,110,2022-12-14,105,155,300,90,0.254499,1832,0.2,154,132,feetflix/New Balance 550 Vintage Indigo Beige.jpg
Air Jordan 13 Retro SoleFly,Jordan,200,2022-12-02,185,350,537,148,0.0,1830,0.11,245,222,feetflix/Jordan 13 Retro SoleFly.jpg
Nike Air Force 1 Low '07 LV8 40th Anniversary White Black,Nike,120,2022-10-13,111,110,219,75,0.117251,1536,0.312,116,158,feetflix/Nike Air Force 1 Low '07 LV8 40th Anniversary White Black.jpg
Air Jordan 5 Retro DJ Khaled We The Best Crimson Bliss GS,Jordan,160,2022-11-28,110,100,450,79,0.071012,1414,-0.275,152,116,feetflix/Jordan 5 Retro DJ Khaled We The Best Crimson Bliss GS.jpg
Air Jordan 1 Elevate Low SE Silver Toe W,Jordan,140,2022-10-19,85,130,192,27,0.108938,1269,0.092,125,153,feetflix/Jordan 1 Elevate Low SE Silver Toe W.jpg
Nike KD 15 Refuge,Nike,150,2022-07-01,96,175,315,75,0.173913,1248,-0.12,145,132,feetflix/Nike KD 15 Refuge.jpg
Nike Dunk Low Retro PRM Year of the Rabbit Fossil Stone 2023,Nike,130,2023-02-11,294,601,805,230,0.169263,891,2.958,352,515,feetflix/Nike Dunk Low Retro PRM Year of the Rabbit Fossil Stone 2023.jpg
New Balance 9060 Bricks & Wood,New Balance,180,2023-01-20,274,355,1000,150,0.108842,874,0.75,264,315,feetflix/New Balance 9060 Bricks & Wood.jpg
adidas adiFOM Superstar White Black,adidas,110,2022-12-14,105,101,569,70,0.099576,722,0.045,118,115,feetflix/adidas adiFOM Superstar White Black.jpg
Nike Air Max Plus Baltic Blue,Nike,160,2023-01-26,129,178,299,129,0.133158,417,0.443,215,231,feetflix/Nike Air Max Plus Baltic Blue.jpg
Air Jordan 14 Retro Metallic Silver W,Jordan,180,2023-03-03,161,200,350,100,0.083956,406,0.174,204,212,feetflix/Jordan 14 Retro Metallic Silver W.jpg
Nike Dunk Low Citron Pulse W,Nike,110,2023-03-07,117,118,224,80,0.13841,248,-0.091,133,100,feetflix/Nike Dunk Low Citron Pulse W.jpg
Nike Dunk Low Vast Grey Varsity Red,Nike,110,2023-03-01,109,123,189,81,0.088688,233,0.045,120,115,feetflix/Nike Dunk Low Vast Grey Varsity Red.jpg
Air Jordan 2 Retro Low Craft Melon Tint,Jordan,150,2023-03-15,112,150,300,90,0.084197,124,-0.173,136,124,feetflix/Jordan 2 Retro Low Craft Melon Tint.jpg
Air Jordan 11 Retro Low Cement Grey GS,Jordan,150,2023-04-01,208,200,300,150,0.100196,35,0.273,200,191,feetflix/Jordan 11 Retro Low Cement Grey GS.jpg
Air Jordan 3 Retro White Cement Reimagined (TD),Jordan,75,2023-03-11,70,80,141,60,0.073558,338,0.027,86,77,feetflix/Jordan 3 Retro White Cement Reimagined (TD).jpg
Air Jordan 1 Mid SE Craft Inside Out White Grey,Jordan,120,2022-03-01,123,161,329,97,0.156474,10674,0.133,147,136,feetflix/Jordan 1 Mid SE Craft Inside Out White Grey.jpg
Air Jordan 5 Retro Jade Horizon,Jordan,190,2022-04-09,150,175,592,100,0.179201,8289,-0.032,204,184,feetflix/Jordan 5 Retro Jade Horizon.jpg
adidas Yeezy Boost 350 V2 Mono Ice,adidas,220,2021-06-18,230,305,442,167,0.093471,6614,0.413,272,311,feetflix/adidas Yeezy Boost 350 V2 Mono Ice.jpg
Nike Dunk Low Next Nature Lilac W,Nike,100,2022-07-16,189,300,452,127,0.0,5867,1.47,189,247,feetflix/Nike Dunk Low Next Nature Lilac W.jpg
adidas Yeezy Boost 350 V2 Sesame,adidas,220,2018-11-23,244,320,833,150,0.067744,5332,0.309,288,288,feetflix/adidas Yeezy Boost 350 V2 Sesame.jpg
Nike SB Dunk Low Blue Raspberry,Nike,110,2022-06-01,206,356,686,143,0.166603,4761,0.955,246,215,feetflix/Nike SB Dunk Low Blue Raspberry.jpg
adidas Yeezy Boost 350 V2 Carbon,adidas,220,2020-10-02,180,315,621,126,0.145886,4612,0.182,277,260,feetflix/adidas Yeezy Boost 350 V2 Carbon.jpg
Air Jordan 1 Mid Carbon Fiber All-Star 2021,Jordan,125,2021-02-01,164,220,412,149,0.099582,4519,1.008,215,251,feetflix/Jordan 1 Mid Carbon Fiber All-Star 2021.jpg
Nike Dunk Low Retro Sun Club Multi W,Nike,110,2022-07-07,115,121,250,67,0.099921,4396,0.355,130,149,feetflix/Nike Dunk Low Retro Sun Club Multi W.jpg
Nike Air Max 270 White Black,Nike,160,2018-03-20,111,105,234,75,0.041345,4359,-0.288,116,114,feetflix/Nike Air Max 270 White Black.jpg
UGG Tasman Slipper Black,UGG,100,2021-11-01,102,150,230,56,0.14858,4292,0.16,108,116,feetflix/UGG Tasman Slipper Black.jpg
Air Jordan 1 Retro High Court Purple White,Jordan,170,2020-04-11,229,283,653,190,0.104686,4152,0.799,297,306,feetflix/Jordan 1 Retro High Court Purple White.jpg
Air Jordan 1 High Element Gore-Tex Light Curry,Jordan,200,2022-04-01,116,189,328,55,0.135423,3988,-0.42,179,116,feetflix/Jordan 1 High Element Gore-Tex Light Curry.jpg
Nike Air Max 1 Sail Ironstone,Nike,150,2022-11-24,140,188,360,83,0.0,2840,0.053,189,158,feetflix/Nike Air Max 1 Sail Ironstone.jpg
adidas Yeezy Boost 350 V2 Mono Mist,adidas,220,2021-06-18,144,214,329,95,0.116816,2741,-0.214,202,173,feetflix/adidas Yeezy Boost 350 V2 Mono Mist.jpg
Nike Dunk Low White Pink GS,Nike,85,2022-01-15,73,60,126,27,0.06323,2180,-0.141,83,73,feetflix/Nike Dunk Low White Pink GS.jpg
Nike LeBron 20 Miami Heat,Nike,200,2022-10-24,160,199,362,101,0.0,2179,0.122,198,225,feetflix/Nike LeBron 20 Miami Heat.jpg
Nike Air Force 1 Low '07 LV8 40th Anniversary Sail Malachite,Nike,130,2022-10-13,109,116,194,88,0.199777,1899,-0.157,126,110,feetflix/Nike Air Force 1 Low '07 LV8 40th Anniversary Sail Malachite.jpg
Nike Air Max Plus White Grape Ice,Nike,170,2022-06-24,88,145,334,100,0.101317,1403,-0.061,158,160,feetflix/Nike Air Max Plus White Grape Ice.jpg
Air Jordan 1 Retro High Light Smoke Grey GS,Jordan,130,2020-07-11,124,146,301,100,0.131096,1340,-0.041,181,125,feetflix/Jordan 1 Retro High Light Smoke Grey GS.jpg
Air Jordan 4 Retro Off-White Sail (W),Jordan,200,2020-07-25,965,2550,6500,766,0.455248,1271,7.036,1575,1608,feetflix/Jordan 4 Retro Off-White Sail (W).jpg
Nike Epic Phantom React Flyknit Black White (W),Nike,150,2019-05-02,68,66,247,54,0.116373,1098,-0.384,116,93,feetflix/Nike Epic Phantom React Flyknit Black White (W).jpg
New Balance 550 Lunar New Year Sea Salt,New Balance,130,2022-12-30,100,115,285,90,0.118298,870,-0.138,147,112,feetflix/New Balance 550 Lunar New Year Sea Salt.jpg
adidas Yeezy Boost 350 V2 Static (Non-Reflective),adidas,220,2018-12-27,324,319,671,242,0.057063,860,0.605,389,353,feetflix/adidas Yeezy Boost 350 V2 Static (Non-Reflective).jpg
Air Jordan 12 Retro Low Golf Playoff,Jordan,220,2022-10-18,134,200,303,115,0.115232,669,-0.377,164,137,feetflix/Jordan 12 Retro Low Golf Playoff.jpg
Air Jordan 1 Mid SE Ice Blue W,Jordan,135,2023-01-20,122,130,250,100,0.094654,651,-0.052,143,128,feetflix/Jordan 1 Mid SE Ice Blue W.jpg
New Balance 530 Beige Angora,New Balance,100,2022-12-20,93,108,156,80,0.043008,568,0.085,110,109,feetflix/New Balance 530 Beige Angora.jpg
ASICS ACTIBREEZE 3D Sandal Black,ASICS,80,2022-07-21,117,140,375,80,0.144152,544,0.938,158,155,feetflix/ASICS ACTIBREEZE 3D Sandal Black.jpg
Nike Dunk Low SE Just Do It White Phantom W,Nike,120,2023-02-16,109,121,220,85,0.132945,383,0.117,128,134,feetflix/Nike Dunk Low SE Just Do It White Phantom W.jpg
Air Jordan 1 Mid Gym Red Panda W,Jordan,130,2023-01-17,88,95,184,88,0.197659,341,-0.238,120,99,feetflix/Jordan 1 Mid Gym Red Panda W.jpg
Nike Dunk Low Next Nature TPU Swoosh GS,Nike,90,2023-01-03,74,71,128,61,0.074532,207,-0.167,90,75,feetflix/Nike Dunk Low Next Nature TPU Swoosh GS.jpg
adidas Gazelle Indoor Bold Orange W,adidas,120,2021-06-18,113,150,226,90,0.059992,150,0.225,142,147,feetflix/adidas Gazelle Indoor Bold Orange W.jpg
Air Jordan 1 Low Marina Blue W,Jordan,100,2022-01-29,104,129,221,90,0.168161,10236,0.348,138,135,feetflix/Jordan 1 Low Marina Blue W.jpg
Nike Dunk High Championship White Red,Nike,115,2022-05-17,122,150,239,73,0.18438,8504,0.043,138,120,feetflix/Nike Dunk High Championship White Red.jpg
Air Jordan 1 High Element Gore-Tex Light Bone,Jordan,200,2021-12-16,170,303,399,99,0.0,6960,-0.05,228,190,feetflix/Jordan 1 High Element Gore-Tex Light Bone.jpg
Air Jordan 3 Retro Fire Red 2022 GS,Jordan,150,2022-09-10,131,160,320,75,0.110291,6321,0.167,147,175,feetflix/Jordan 3 Retro Fire Red 2022 GS.jpg
Nike Air Force 1 Mid Stussy Fossil,Nike,150,2022-05-13,121,138,429,90,0.0,5600,0.309,150,197,feetflix/Nike Air Force 1 Mid Stussy Fossil.jpg
adidas Yeezy 450 Utility Black,adidas,200,2022-08-02,237,300,441,145,0.111329,5418,0.685,240,337,feetflix/adidas Yeezy 450 Utility Black.jpg
Nike Dunk Low Bone Beige W,Nike,110,2022-12-06,179,223,380,100,0.12369,5080,1.1,181,231,feetflix/Nike Dunk Low Bone Beige W.jpg
Air Jordan 4 Retro Military Black PS,Jordan,90,2022-05-21,102,130,299,30,0.0,4800,0.289,107,116,feetflix/Jordan 4 Retro Military Black PS.jpg
Air Jordan 1 Retro High OG Dark Marina Blue GS,Jordan,130,2022-02-16,97,105,206,33,0.088864,4527,-0.008,128,129,feetflix/Jordan 1 Retro High OG Dark Marina Blue GS.jpg
Nike Blazer Low Sacai Black Patent Leather,Nike,120,2022-03-31,64,73,193,36,0.162075,4093,-0.006,108,120,feetflix/Nike Blazer Low Sacai Black Patent Leather.jpg
Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Grey,Converse,150,2021-06-03,105,150,321,72,0.091404,2701,0.04,142,156,feetflix/Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Grey.jpg
Nike Hot Step Air Terra Drake NOCTA White,Nike,180,2022-03-03,205,260,527,90,0.203771,2681,0.283,274,231,feetflix/Nike Hot Step Air Terra Drake NOCTA White.jpg
Air Jordan 12 Retro Utility,Jordan,190,2021-08-21,199,350,487,145,0.062452,1735,0.095,226,208,feetflix/Jordan 12 Retro Utility.jpg
New Balance 2002R Protection Pack Lunar New Year Dusty Lilac,New Balance,170,2022-12-30,192,230,365,160,0.06581,1087,0.192,217,203,feetflix/New Balance 2002R Protection Pack Lunar New Year Dusty Lilac.jpg
Nike Air Griffey Max 1 USA 2022,Nike,170,2022-06-24,86,130,285,50,0.178208,1083,-0.412,134,100,feetflix/Nike Air Griffey Max 1 USA 2022.jpg
adidas Superstar Core Black Cloud White Gold,adidas,85,2019-12-23,67,79,351,30,0.138242,1008,0.392,79,119,feetflix/adidas Superstar Core Black Cloud White Gold.jpg
Air Jordan 1 Retro Low OG SP Travis Scott,Jordan,130,2019-07-20,1800,1925,2806,1258,0.08994,890,13.608,1804,1899,feetflix/Jordan 1 Retro Low OG SP Travis Scott.jpg
Air Jordan 1 Low OG Starfish GS,Jordan,100,2021-08-26,117,136,264,89,0.1159,858,0.29,163,129,feetflix/Jordan 1 Low OG Starfish GS.jpg
Puma LaMelo Ball MB.02 Rookie Of The Year,Puma,130,2022-12-09,79,117,283,84,0.219459,753,-0.023,147,127,feetflix/Puma LaMelo Ball MB.02 Rookie Of The Year.jpg
Nike Air Force 1 Low SP AMBUSH Pine Green,Nike,190,2022-12-16,128,148,401,90,0.136972,640,-0.268,168,139,feetflix/Nike Air Force 1 Low SP AMBUSH Pine Green.jpg
Nike Tiger Woods TW '13 Retro White Varsity Red,Nike,240,2023-02-16,200,311,427,190,0.078182,554,0.104,268,265,feetflix/Nike Tiger Woods TW '13 Retro White Varsity Red.jpg
New Balance 327 Sea Salt Golden Hour Gum W,New Balance,120,2022-07-07,86,98,146,72,0.080354,523,-0.208,105,95,feetflix/New Balance 327 Sea Salt Golden Hour Gum W.jpg
Nike Air Max 90 Doernbecher 2023,Nike,140,2023-02-25,162,176,340,150,0.141322,487,0.214,186,170,feetflix/Nike Air Max 90 Doernbecher 2023.jpg
New Balance 9060 Truffle Rich Earth Magnet,New Balance,150,2022-12-06,129,210,259,99,0.165903,362,-0.067,150,140,feetflix/New Balance 9060 Truffle Rich Earth Magnet.jpg
Air Jordan 5 Retro Racer Blue,Jordan,200,2022-02-12,225,270,510,162,0.136747,12241,0.25,237,250,feetflix/Jordan 5 Retro Racer Blue.jpg
Nike Dunk Low Fossil Rose,Nike,110,2022-05-04,149,221,432,118,0.086634,11146,0.609,181,177,feetflix/Nike Dunk Low Fossil Rose.jpg
Nike Dunk Low Next Nature Sun Club Arctic Orange,Nike,110,2022-05-20,114,165,400,75,0.124008,8479,0.273,124,140,feetflix/Nike Dunk Low Next Nature Sun Club Arctic Orange.jpg
Air Jordan 1 Retro High Pollen,Jordan,170,2021-08-14,143,185,363,40,0.135041,7436,-0.165,189,142,feetflix/Jordan 1 Retro High Pollen.jpg
Nike SB Dunk Low Pro St. Patrick's Day 2022,Nike,110,2022-03-05,173,280,1800,99,0.245638,6965,0.219,204,135,feetflix/Nike SB Dunk Low Pro St. Patrick's Day 2022.jpg
Air Jordan 1 Retro Low OG Mystic Navy,Jordan,130,2022-06-30,130,160,354,93,0.101227,6379,0.146,155,149,feetflix/Jordan 1 Retro Low OG Mystic Navy.jpg
Nike Dunk Low Easter 2022 W,Nike,110,2022-04-17,143,146,243,95,0.08643,6152,0.364,144,150,feetflix/Nike Dunk Low Easter 2022 W.jpg
Air Jordan 1 Mid University Blue Grey,Jordan,120,2022-08-01,180,215,294,127,0.065792,5454,0.808,178,217,feetflix/Jordan 1 Mid University Blue Grey.jpg
Nike SB Dunk Low Cherry,Nike,110,2022-07-09,146,1826,449,95,0.189721,4825,0.417,189,156,feetflix/Nike SB Dunk Low Cherry.jpg
Air Jordan 1 Low Vintage Grey GS,Jordan,75,2022-09-02,108,109,196,84,0.182099,3622,0.6,125,120,feetflix/Air Jordan 1 Low Vintage Grey GS.jpg
Air Jordan 1 Retro High OG Twist 2.0 Medium Grey W,Jordan,180,2022-12-22,115,123,369,90,0.06093,1349,-0.322,143,122,feetflix/Jordan 1 Retro High OG Twist 2.0 Medium Grey W.jpg
Nike Dunk High 1985 Arctic Orange W,Nike,140,2022-09-27,57,98,245,35,0.193272,1188,-0.407,108,83,feetflix/Nike Dunk High 1985 Arctic Orange W.jpg
Air Jordan 5 Retro Dunk on Mars W,Jordan,200,2023-01-14,125,200,300,95,0.191947,1042,-0.27,174,146,feetflix/Jordan 5 Retro Dunk on Mars W.jpg
Air Jordan 1 Retro Low OG SP Travis Scott,Jordan,130,2019-07-20,1804,1925,2806,1258,0.07445,890,16.654,1803,2295,feetflix/Jordan 1 Retro Low OG SP Travis Scott.jpg
New Balance 990v3 Patta Keep Your Family Close,New Balance,220,2022-09-30,187,327,375,113,0.0,879,-0.173,207,182,feetflix/New Balance 990v3 Patta Keep Your Family Close.jpg
Nike Dunk Low Valentine's Day Yellow Heart W,Nike,110,2023-02-14,90,97,218,80,0.089112,801,-0.182,130,90,feetflix/Nike Dunk Low Valentine's Day Yellow Heart W.jpg
Nike Air Max 90 Ashen Slate,Nike,140,2022-05-13,102,220,420,110,0.119764,706,0.182,183,166,feetflix/Nike Air Max 90 Ashen Slate.jpg
Air Jordan 1 Low SE Wear Away Yellow,Jordan,130,2022-10-07,103,115,250,70,0.179809,683,-0.269,124,95,feetflix/Jordan 1 Low SE Wear Away Yellow.jpg
Nike ZoomX Vaporfly Next% 3 Prototype,Nike,250,2023-03-06,330,345,743,277,0.114994,117,0.664,400,416,feetflix/Nike ZoomX Vaporfly Next% 3 Prototype.jpg
Nike Dunk Low Stadium Green Fuchsia W,Nike,110,2022-05-01,131,200,215,120,0.043586,25,0.209,140,133,feetflix/Nike Dunk Low Stadium Green Fuchsia W.jpg
Nike Blazer Low Off-White University Red,Nike,140,2022-04-08,112,135,571,56,0.07465,10501,0.061,191,149,feetflix/Nike Blazer Low Off-White University Red.jpg
adidas Yeezy Boost 350 Turtledove 2022,adidas,230,2022-08-02,240,410,990,209,0.21732,7675,1.013,452,463,feetflix/adidas Yeezy Boost 350 Turtledove 2022.jpg
Nike Dunk Low SE World Champs Black White,Nike,100,2022-05-21,157,166,287,100,0.0,7127,0.62,166,162,feetflix/Nike Dunk Low SE World Champs Black White.jpg
Nike Dunk Low PRM Halloween 2021,Nike,110,2022-04-01,156,198,340,109,0.125478,6577,0.809,210,199,feetflix/Nike Dunk Low PRM Halloween 2021.jpg
Air Jordan 12 Retro Royalty Taxi,Jordan,190,2021-11-13,182,250,400,92,0.140878,6372,0.253,240,238,feetflix/Jordan 12 Retro Royalty Taxi.jpg
Air Jordan 13 Retro Court Purple,Jordan,190,2022-01-08,164,196,351,120,0.067909,5680,0.005,193,191,feetflix/Jordan 13 Retro Court Purple.jpg
Nike Air Max 1 SH Treeline,Nike,150,2022-05-07,101,165,475,94,0.166246,5651,-0.267,177,110,feetflix/Nike Air Max 1 SH Treeline.jpg
Nike Dunk Low Archeo Pink W,Nike,100,2021-10-23,175,180,358,120,0.106632,5049,0.51,189,151,feetflix/Nike Dunk Low Archeo Pink W.jpg
Birkenstock Boston Soft Footbed Suede Taupe,Birkenstock,155,2021-08-31,135,145,476,100,0.14171,4366,-0.052,189,147,feetflix/Birkenstock Boston Soft Footbed Suede Taupe.jpg
Air Jordan 1 Retro High Royal Toe,Jordan,170,2020-05-09,255,278,635,196,0.222262,4089,0.418,283,241,feetflix/Jordan 1 Retro High Royal Toe.jpg
adidas Yeezy Foam RNR MX Carbon,adidas,90,2022-08-02,236,285,540,155,0.07639,3984,1.8,251,252,feetflix/adidas Yeezy Foam RNR MX Carbon.jpg
Air Jordan 1 Low Craft Inside Out Black,Jordan,110,2022-10-04,123,158,399,100,0.108675,3963,0.636,146,180,feetflix/Jordan 1 Low Craft Inside Out Black.jpg
adidas Yeezy Boost 350 V2 Israfil,adidas,220,2020-08-22,245,300,467,101,0.13364,3422,0.318,289,290,feetflix/adidas Yeezy Boost 350 V2 Israfil.jpg
Air Jordan 6 Retro Travis Scott British Khaki,Jordan,250,2021-04-30,235,444,1125,200,0.534157,3189,0.6,403,400,feetflix/Jordan 6 Retro Travis Scott British Khaki.jpg
Air Jordan 1 Mid Tan Gum,Jordan,120,2021-09-03,122,210,526,100,0.192101,2985,0.433,184,172,feetflix/Jordan 1 Mid Tan Gum.jpg
Nike Dunk High Syracuse 2021,Nike,110,2021-03-10,140,183,356,115,0.181879,2815,1.344,194,258,feetflix/Nike Dunk High Syracuse 2021.jpg
Nike SB Dunk High Pro Premium San Francisco Giants,Nike,125,2022-07-26,99,150,244,69,0.098202,2787,0.045,129,131,feetflix/Nike SB Dunk High Pro Premium San Francisco Giants.jpg
adidas Yeezy 350 V2 CMPCT Slate Bone,adidas,230,2022-09-23,127,216,385,78,0.120943,2782,-0.248,174,173,feetflix/adidas Yeezy 350 V2 CMPCT Slate Bone.jpg
Air Jordan 4 Retro Bred (2019),Jordan,200,2019-05-04,412,570,894,250,0.109647,2641,2.193,538,639,feetflix/Jordan 4 Retro Bred (2019).jpg
Air Jordan 1 Retro High Lucky Green (W),Jordan,170,2020-10-14,184,300,536,151,0.191349,2596,0.459,320,248,feetflix/Jordan 1 Retro High Lucky Green (W).jpg
Air Jordan 1 Retro High Court Purple (W),Jordan,170,2021-06-03,111,116,247,70,0.225977,2520,-0.271,150,124,feetflix/Jordan 1 Retro High Court Purple (W).jpg
Nike Air Max 95 Dark Beetroot,Nike,185,2022-07-12,162,165,354,73,0.0,2508,0.334,194,247,feetflix/Nike Air Max 95 Dark Beetroot.jpg
Nike Dunk Low Dark Beetroot,Nike,120,2022-09-20,97,125,246,75,0.239089,2472,-0.181,111,99,feetflix/Nike Dunk Low Dark Beetroot.jpg
Air Jordan 5 Retro What The,Jordan,220,2020-11-12,185,241,489,110,0.10833,2438,0.064,236,234,feetflix/Jordan 5 Retro What The.jpg
Air Jordan 1 Retro High NC to Chi Leather (W),Jordan,170,2020-02-13,120,230,360,102,0.241502,2174,0.188,197,202,feetflix/Jordan 1 Retro High NC to Chi Leather (W).jpg
Air Jordan 5 Retro Fire Red Silver Tongue (2020),Jordan,200,2020-05-02,237,240,465,179,0.074046,2125,0.23,242,246,feetflix/Jordan 5 Retro Fire Red Silver Tongue (2020).jpg
Air Jordan 1 Retro High Obsidian UNC,Jordan,160,2019-08-31,230,430,881,105,0.136027,1726,1.656,459,425,feetflix/Jordan 1 Retro High Obsidian UNC.jpg
Nike Dunk Low Retro PRM Mars Stone,Nike,120,2022-12-20,98,125,241,60,0.109697,1627,-0.3,113,84,feetflix/Nike Dunk Low Retro PRM Mars Stone.jpg
"Nike Air Force 1 Low '07 Feel Free, Let’s Talk",Nike,0,2022-09-24,109,167,242,70,0.126976,1464,0.0,125,126,"feetflix/Nike Air Force 1 Low '07 Feel Free, Let’s Talk.jpg"
Alexander McQueen Oversized Ivory Black (W),Alexander McQueen,490,2019-12-04,296,350,579,255,0.128449,1154,-0.161,371,411,feetflix/Alexander McQueen Oversized Ivory Black (W).jpg
Nike Dunk High LX Next Nature Pink Oxford W,Nike,130,2021-12-28,65,80,183,40,0.272601,932,-0.523,94,62,feetflix/Nike Dunk High LX Next Nature Pink Oxford W.jpg
Nike Air Max Plus Black University Blue 2022,Nike,160,2022-12-16,144,150,330,120,0.170429,700,-0.106,207,143,feetflix/Nike Air Max Plus Black University Blue 2022.jpg
Nike Air Max 1 Master Magma Orange W,Nike,160,2022-12-27,78,201,417,59,0.291629,698,-0.519,151,77,feetflix/Nike Air Max 1 Master Magma Orange W.jpg
Nike Air Max 270 White Gum,Nike,150,2020-12-01,102,106,407,70,0.079463,512,-0.14,141,129,feetflix/Nike Air Max 270 White Gum.jpg
New Balance 550 White Blue Haze Rain Cloud,New Balance,120,2023-01-24,103,108,272,90,0.17532,478,0.0,127,120,feetflix/New Balance 550 White Blue Haze Rain Cloud.jpg
New Balance 991 MiUK JJJJound Grey Olive W,New Balance,250,2023-02-17,270,361,490,251,0.075892,407,0.479,329,370,feetflix/New Balance 991 MiUK JJJJound Grey Olive W.jpg
MSCHF Super Normal 2 Common White,MSCHF,145,2023-01-31,118,145,236,90,0.142393,221,0.4,151,204,feetflix/MSCHF Super Normal 2 Common White.jpg
Nike Air Max 90 Golf NRG Desert Camo,Nike,150,2023-02-06,130,175,258,103,0.156432,214,0.147,169,172,feetflix/Nike Air Max 90 Golf NRG Desert Camo.jpg
New Balance 725 Grey,New Balance,135,2022-01-24,110,135,303,94,0.1232,133,-0.237,130,103,feetflix/New Balance 725 Grey.jpg
Nike Dunk High Retro PRM Cracked Leather Swoosh,Nike,125,2023-02-18,80,110,163,66,0.164558,98,-0.328,100,84,feetflix/Nike Dunk High Retro PRM Cracked Leather Swoosh.jpg
adidas Gazelle Indoor Orange Peel White W,adidas,90,2022-12-16,137,135,201,121,0.079026,70,0.894,155,171,feetflix/adidas Gazelle Indoor Orange Peel White W.jpg
Nike LeBron 20 Chosen 1,Nike,200,2023-03-10,140,163,347,126,0.141381,69,-0.235,188,153,feetflix/Nike LeBron 20 Chosen 1.jpg
Air Jordan 1 Retro High OG Atmosphere Pink W,Jordan,180,2023-04-22,200,205,321,200,0.121137,19,0.233,246,222,feetflix/Jordan 1 Retro High OG Atmosphere Pink W.jpg
Air Jordan 1 Mid Diamond Shorts GS,Jordan,100,2022-02-09,134,156,225,111,0.167765,11827,0.6,150,160,feetflix/Jordan 1 Mid Diamond Shorts GS.jpg
Nike Dunk Low Two-Toned Grey GS,Nike,85,2022-03-01,153,170,248,93,0.06729,11257,0.976,143,168,feetflix/Nike Dunk Low Two-Toned Grey GS.jpg
Nike Dunk High Pink Prime W,Nike,115,2022-05-05,148,245,347,100,0.171086,9868,1.0,169,230,feetflix/Nike Dunk High Pink Prime W.jpg
Air Jordan 1 Retro Low Golf Chicago,Jordan,140,2022-03-24,171,262,464,121,0.184848,8518,0.579,221,221,feetflix/Jordan 1 Retro Low Golf Chicago.jpg
Nike Air Max 1 SP Concepts Mellow,Nike,170,2022-03-05,143,185,325,84,0.131868,7476,-0.062,198,160,feetflix/Nike Air Max 1 SP Concepts Mellow.jpg
UGG Disquette Slipper Chestnut W,UGG,100,2021-11-01,79,90,239,58,0.138592,6181,-0.01,131,99,feetflix/UGG Disquette Slipper Chestnut W.jpg
Crocs Classic Clog Cinnamon Toast Crunch,Crocs,70,2022-04-28,78,91,450,35,0.152875,5743,0.114,113,78,feetflix/Crocs Classic Clog Cinnamon Toast Crunch.jpg
Air Jordan 5 Retro Easter 2022,Jordan,210,2022-05-27,160,230,454,120,0.120683,5712,0.136,206,239,feetflix/Jordan 5 Retro Easter 2022.jpg
UGG Tasman II Slipper Chesnut (Kids),UGG,70,2021-11-01,37,71,217,36,0.163626,5597,0.257,114,88,feetflix/UGG Tasman II Slipper Chesnut (Kids).jpg
